影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
同居的目的,???,,???;???,爱情,韩国,韩语,2016-03-31(韩国)
同桌的妳,郭帆,高晓松;傲立;宋晋川,周冬雨;林更新;隋凯;王啸坤;龚格尔;李岷城;赵思园;曹阳;张子枫;李砚;石兆琪;杜扬;周浩东;姜志刚;张小北;孙德元;凯伦·阿姆斯特朗;约翰·布埃诺;大卫·肯尼斯·沃恩;迈克尔·J·吉拉普;奈津子;Dan van wert;Dan kern;赵泽文;冯千卉;陈一榕,剧情;爱情,中国大陆,汉语普通话 / 英语,2014-04-25(中国大陆)
同步,雅各布·詹特利,雅各布·詹特利;亚历克斯·奥尔,查德·麦克奈特;布莱安娜·戴维斯;AJ·鲍恩;斯科特·波伊思雷斯;迈克尔·艾恩塞德,科幻;悬疑;惊悚,美国,英语,2015-07-22(加拿大奇幻电影节);2016-01-22(美国)
同班同学,陆以心,陆以心;吴沚默;赵吕梦子,郭奕芯;麦芷谊;廖子妤;邵音音;王宗尧;苍井空;谢爕隽;蔡洁;卢惠光;陈静,剧情,香港,粤语,2015-10-29(香港)
同窗,Hong-soo Park,Soo-young Kim,崔胜铉;韩艺礼;金裕贞;赵成夏,剧情;动作,韩国,韩语,2013-11-06(韩国)
同等族群,德雷克·多雷穆斯,内森·帕克;德雷克·多雷穆斯,克里斯汀·斯图尔特;尼古拉斯·霍尔特;杰基·韦佛;盖·皮尔斯;凯特·林恩·希尔;金秀贤;托比·胡斯;丽贝卡·哈泽伍德;里兹万·曼吉;斯科特·劳伦斯;凯·伦诺克斯;大卫·塞尔比;蓓尔·波利,剧情;爱情;科幻,美国,英语,2015-09-05(威尼斯电影节);2016-07-15(美国)
同船爱歌,奥利维耶·杜卡斯泰尔;雅克·玛尔提诺,奥利维耶·杜卡斯泰尔;雅克·玛尔提诺,杰弗瑞·古艾;弗朗索瓦·纳伯;Mario Fanfani;Bastien Gabriel;Miguel Ferreira;Jeffry Kaplow,剧情;情色;同性,法国,法语,2016-02-15(柏林电影节);2016-04-27(法国)
同谋,彭顺,彭顺;吴孟璋;彭柏成,郭富城;张家辉;江一燕;陈观泰;李晨浩;阿牛;小肥;林威;王骏;梁雅高,剧情;悬疑;犯罪,香港 / 中国大陆,汉语普通话 / 粤语,2013-04-27(中国大陆)
名侦探柯南特典：通往大阪什锦煎饼的艰险之路,青山刚昌,青山刚昌,高山南,动画;悬疑,日本,日语,2010-04-17(日本)
名侦探柯南：业火的向日葵,静野孔文,樱井武晴;青山刚昌,高山南;山崎和佳奈;小山力也;山口胜平;荣仓奈奈;林原惠美;松井菜樱子;茶风林;绪方贤一;岩居由希子;高木涉;大谷育江;富田耕生,动画;悬疑;冒险,日本,日语,2015-10-23(中国大陆);2015-04-18(日本)
